STATUS | wrapper  | 2018/03/30 14:29:44 | --> Wrapper Started as Console
INFO   | jvm 1    | 2018/03/30 14:29:46 | 2018-03-30 14:29:46,072 [INFO ][$_NIOREACTOR-0-RW] connected successfuly MySQLConnection [id=10, lastTime=1522420186072, user=root, schema=ias, old shema=ias, borrowed=true, fromSlaveDB=false, threadId=3842, charset=latin1, txIsolation=3, autocommit=true, attachment=null, respHandler=null, host=172.31.40.116, port=33306, statusSync=null, writeQueue=0, modifiedSQLExecuted=false]  (io.mycat.backend.mysql.nio.handler.GetConnectionHandler:GetConnectionHandler.java:67) 
INFO   | jvm 1    | 2018/03/30 14:29:46 | 2018-03-30 14:29:46,072 [INFO ][$_NIOREACTOR-1-RW] connected successfuly MySQLConnection [id=3, lastTime=1522420186072, user=root, schema=ias, old shema=ias, borrowed=true, fromSlaveDB=false, threadId=3837, charset=latin1, txIsolation=3, autocommit=true, attachment=null, respHandler=null, host=172.31.40.116, port=33306, statusSync=null, writeQueue=0, modifiedSQLExecuted=false]  (io.mycat.backend.mysql.nio.handler.GetConnectionHandler:GetConnectionHandler.java:67) 
INFO   | jvm 1    | 2018/03/30 14:29:46 | 2018-03-30 14:29:46,072 [INFO ][$_NIOREACTOR-1-RW] connected successfuly MySQLConnection [id=5, lastTime=1522420186072, user=root, schema=ias, old shema=ias, borrowed=true, fromSlaveDB=false, threadId=3845, charset=latin1, txIsolation=3, autocommit=true, attachment=null, respHandler=null, host=172.31.40.116, port=33306, statusSync=null, writeQueue=0, modifiedSQLExecuted=false]  (io.mycat.backend.mysql.nio.handler.GetConnectionHandler:GetConnectionHandler.java:67) 
INFO   | jvm 1    | 2018/03/30 14:29:46 | 2018-03-30 14:29:46,072 [INFO ][$_NIOREACTOR-1-RW] connected successfuly MySQLConnection [id=9, lastTime=1522420186072, user=root, schema=ias, old shema=ias, borrowed=true, fromSlaveDB=false, threadId=3839, charset=latin1, txIsolation=3, autocommit=true, attachment=null, respHandler=null, host=172.31.40.116, port=33306, statusSync=null, writeQueue=0, modifiedSQLExecuted=false]  (io.mycat.backend.mysql.nio.handler.GetConnectionHandler:GetConnectionHandler.java:67) 
INFO   | jvm 1    | 2018/03/30 14:29:46 | 2018-03-30 14:29:46,080 [INFO ][WrapperSimpleAppMain] init result :finished 10 success 10 target count:10  (io.mycat.backend.datasource.PhysicalDBPool:PhysicalDBPool.java:319) 
INFO   | jvm 1    | 2018/03/30 14:29:46 | 2018-03-30 14:29:46,081 [INFO ][WrapperSimpleAppMain] rwhost0 index:0 init success  (io.mycat.backend.datasource.PhysicalDBPool:PhysicalDBPool.java:265) 
INFO   | jvm 1    | 2018/03/30 14:29:46 | 2018-03-30 14:29:46,090 [INFO ][Timer0] create connections ,because idle connection not enough ,cur is 0, minCon is 10 for hostS1  (io.mycat.backend.datasource.PhysicalDatasource:PhysicalDatasource.java:299) 
INFO   | jvm 1    | 2018/03/30 14:29:46 | 2018-03-30 14:29:46,093 [INFO ][$_NIOREACTOR-0-RW] connectionAcquired MySQLConnection [id=12, lastTime=1522420186082, user=root, schema=ias, old shema=ias, borrowed=false, fromSlaveDB=true, threadId=21, charset=latin1, txIsolation=3, autocommit=true, attachment=null, respHandler=null, host=172.31.40.116, port=33307, statusSync=null, writeQueue=0, modifiedSQLExecuted=false]  (io.mycat.backend.mysql.nio.handler.NewConnectionRespHandler:NewConnectionRespHandler.java:45) 
INFO   | jvm 1    | 2018/03/30 14:29:46 | 2018-03-30 14:29:46,094 [INFO ][$_NIOREACTOR-1-RW] connectionAcquired MySQLConnection [id=13, lastTime=1522420186082, user=root, schema=ias, old shema=ias, borrowed=false, fromSlaveDB=true, threadId=20, charset=latin1, txIsolation=3, autocommit=true, attachment=null, respHandler=null, host=172.31.40.116, port=33307, statusSync=null, writeQueue=0, modifiedSQLExecuted=false]  (io.mycat.backend.mysql.nio.handler.NewConnectionRespHandler:NewConnectionRespHandler.java:45) 
INFO   | jvm 1    | 2018/03/30 14:29:46 | 2018-03-30 14:29:46,094 [INFO ][$_NIOREACTOR-1-RW] connectionAcquired MySQLConnection [id=11, lastTime=1522420186082, user=root, schema=ias, old shema=ias, borrowed=false, fromSlaveDB=true, threadId=19, charset=latin1, txIsolation=3, autocommit=true, attachment=null, respHandler=null, host=172.31.40.116, port=33307, statusSync=null, writeQueue=0, modifiedSQLExecuted=false]  (io.mycat.backend.mysql.nio.handler.NewConnectionRespHandler:NewConnectionRespHandler.java:45) 
